Channel,Elevation,Azimuth
1,14.397,3.342
2,13.515,3.344
3,13.062,1.149
4,12.613,3.343
5,12.151,1.151
6,11.656,3.348
7,11.233,1.144
8,10.762,3.347
9,10.286,1.145
10,9.81,3.345
11,9.341,1.148
12,8.875,3.346
13,8.398,1.143
14,7.9,3.341
15,7.439,1.142
16,6.943,-1.075
17,6.466,1.138
18,5.964,-1.069
19,5.471,-3.268
20,4.997,-1.077
21,4.485,-3.278
22,4.003,-1.079
23,3.469,-3.299
24,3.01,-1.077
25,2.494,-3.3
26,2.006,-1.08
27,1.88,7.807
28,1.758,5.594
29,1.632,3.363
30,1.496,-3.3
31,1.396,1.13
32,1.252,-5.445
33,1.101,-7.643
34,1.004,-1.083
35,0.902,7.818
36,0.798,5.585
37,0.642,3.363
38,0.525,-3.286
39,0.411,1.136
40,0.255,-5.453
41,0.127,-7.646
42,0.006,-1.08
43,-0.112,7.83
44,-0.219,5.596
45,-0.345,3.366
46,-0.5,-3.289
47,-0.62,1.134
48,-0.74,-5.459
49,-0.891,-7.662
50,-0.993,-1.092
51,-1.106,7.838
52,-1.215,5.605
53,-1.367,3.378
54,-1.508,-3.278
55,-1.608,1.139
56,-1.752,-5.458
57,-1.894,-7.67
58,-2.006,-1.092
59,-2.11,7.848
60,-2.235,5.621
61,-2.397,3.386
62,-2.534,-3.282
63,-2.655,1.144
64,-2.778,-5.47
65,-2.889,-7.681
66,-3.037,-1.095
67,-3.107,7.854
68,-3.25,5.627
69,-3.4,3.384
70,-3.525,-3.311
71,-3.664,1.149
72,-3.78,-5.474
73,-3.912,-7.691
74,-4.061,-1.098
75,-4.132,7.87
76,-4.276,5.621
77,-4.439,3.391
78,-4.551,-3.304
79,-4.662,1.141
80,-4.812,-5.489
81,-4.916,-7.711
82,-5.081,-1.103
83,-5.158,7.885
84,-5.296,5.642
85,-5.454,3.401
86,-5.577,-3.315
87,-5.691,1.15
88,-5.822,-5.493
89,-5.928,-7.719
90,-6.099,-1.106
91,-6.603,-3.31
92,-7.119,-1.107
93,-7.614,-3.323
94,-8.139,-1.11
95,-8.62,-3.327
96,-9.124,3.436
97,-9.632,-3.334
98,-10.152,3.443
99,-10.648,1.16
100,-11.132,3.452
101,-11.662,1.167
102,-12.136,3.468
103,-12.67,1.173
104,-13.152,3.483
105,-13.655,1.179
106,-14.14,3.494
107,-14.652,1.187
108,-15.143,3.51
109,-15.646,1.188
110,-16.106,3.503
111,-16.607,1.208
112,-17.119,-1.09
113,-17.564,1.208
114,-18.092,-1.08
115,-18.538,-3.354
116,-19.027,-1.077
117,-19.501,-3.347
118,-19.985,-1.074
119,-20.445,-3.348
120,-20.941,-1.061
121,-21.368,-3.346
122,-21.861,-1.06
123,-22.312,-3.323
124,-22.801,-1.05
125,-23.211,-3.349
126,-23.721,-1.052
127,-24.129,-3.334
128,-25.027,-3.333
