Channel,Elevation,Azimuth
1,14.399,3.401
2,13.504,3.403
3,13.067,1.187
4,12.601,3.404
5,12.149,1.189
6,11.659,3.401
7,11.218,1.189
8,10.733,3.406
9,10.278,1.187
10,9.8,3.407
11,9.33,1.202
12,8.851,3.415
13,8.343,1.198
14,7.877,3.42
15,7.403,1.206
16,6.928,-1.017
17,6.421,1.215
18,5.969,-0.996
19,5.429,-3.156
20,4.957,-0.977
21,4.468,-3.165
22,3.981,-1
23,3.485,-3.167
24,2.978,-0.987
25,2.476,-3.165
26,1.968,-0.986
27,1.814,7.908
28,1.73,5.719
29,1.613,3.45
30,1.49,-3.165
31,1.368,1.229
32,1.238,-5.373
33,1.102,-7.576
34,0.985,-1.012
35,0.831,7.924
36,0.734,5.716
37,0.618,3.45
38,0.506,-3.174
39,0.363,1.236
40,0.229,-5.377
41,0.106,-7.579
42,-0.032,-0.989
43,-0.171,7.933
44,-0.27,5.735
45,-0.403,3.461
46,-0.515,-3.18
47,-0.643,1.246
48,-0.78,-5.381
49,-0.884,-7.592
50,-1.03,-1.009
51,-1.166,7.944
52,-1.263,5.75
53,-1.385,3.469
54,-1.551,-3.182
55,-1.665,1.243
56,-1.789,-5.379
57,-1.913,-7.585
58,-2.053,-1.009
59,-2.177,7.955
60,-2.292,5.764
61,-2.437,3.481
62,-2.566,-3.177
63,-2.708,1.249
64,-2.812,-5.381
65,-2.919,-7.609
66,-3.063,-1.013
67,-3.177,7.974
68,-3.313,5.762
69,-3.449,3.489
70,-3.565,-3.183
71,-3.705,1.254
72,-3.798,-5.397
73,-3.93,-7.613
74,-4.077,-1.016
75,-4.2,7.984
76,-4.321,5.786
77,-4.452,3.497
78,-4.571,-3.194
79,-4.743,1.255
80,-4.842,-5.399
81,-4.92,-7.629
82,-5.095,-1.02
83,-5.2,8.003
84,-5.354,5.8
85,-5.481,3.509
86,-5.61,-3.19
87,-5.759,1.256
88,-5.841,-5.403
89,-5.937,-7.641
90,-6.111,-1.014
91,-6.622,-3.203
92,-7.134,-1.023
93,-7.641,-3.204
94,-8.17,-1.015
95,-8.648,-3.214
96,-9.16,3.548
97,-9.666,-3.216
98,-10.19,3.567
99,-10.686,1.279
100,-11.208,3.57
101,-11.709,1.289
102,-12.191,3.594
103,-12.711,1.293
104,-13.196,3.604
105,-13.699,1.299
106,-14.177,3.634
107,-14.694,1.304
108,-15.184,3.631
109,-15.672,1.314
110,-16.162,3.64
111,-16.645,1.328
112,-17.137,-0.982
113,-17.608,1.332
114,-18.104,-0.972
115,-18.564,-3.228
116,-19.057,-0.965
117,-19.501,-3.217
118,-20.019,-0.964
119,-20.459,-3.224
120,-20.96,-0.955
121,-21.376,-3.22
122,-21.884,-0.952
123,-22.319,-3.217
124,-22.814,-0.945
125,-23.225,-3.222
126,-23.723,-0.939
127,-24.135,-3.221
128,-25.015,-3.219
